,0
min_Time_difference_between_packets_per_session,0.18768823
median_Time_difference_between_packets_per_session,0.08997939
total_TCP_windows_size_value_forward_traffic_enc,0.06327704
max_TCP_windows_size_value_forward_traffic,0.06289511
var_backward_packet_length,0.052216683
std_Length_of_TCP_packet_header,0.051340308
mean_ttl_forward_traffic,0.04343386
std_backward_packet_length,0.021092953
max_ttl_backward_traffic_enc,0.020938898
mean_TCP_windows_size_value_forward_traffic_ratio,0.019895276
min_time_to_live,0.019003369
total_ttl_backward_traffic_enc,0.01372844
total_ttl_backward_traffic,0.01293028
mean_backward_packet_length,0.012927641
total_ttl_forward_traffic_enc,0.01172571
IPratio_ratio,0.010835522
min_Interval_of_arrival_time_of_forward_traffic,0.010681681
max_Interval_of_arrival_time_of_forward_traffic,0.010502751
max_TCP_windows_size_value_forward_traffic_enc,0.009987377
median_Interval_of_arrival_time_of_forward_traffic,0.008209646
total_TCP_windows_size_value_forward_traffic,0.0076841186
min_Interval_of_arrival_time_of_backward_traffic,0.00732734
min_TCP_windows_size_value_backward_traffic_ratio,0.0069507896
max_TCP_windows_size_value_forward_traffic_ratio,0.006746708
max_time_to_live,0.0063086925
std_TCP_windows_size_value_backward_traffic,0.0062374705
min_TCP_windows_size_value_forward_traffic_ratio,0.005959216
min_ttl_forward_traffic,0.0057200226
Total_length_of_backward_TCP_header,0.005391118
min_length_of_IP_packet_ratio,0.0053487597
min_ttl_backward_traffic,0.005272789
total_ttl_backward_traffic_ratio,0.0046703676
max_Length_of_IP_packets,0.0043869554
var_Change_values_of_TCP_windows_length_per_session,0.0042804074
Total_length_of_forward_payload_ratio,0.004263089
min_Interval_of_arrival_time_of_forward_traffic_enc,0.0042563626
mean_TCP_windows_size_value_forward_traffic_enc,0.004125911
max_Length_of_TCP_packet_header,0.0039149565
total_TCP_windows_size_value_forward_traffic_ratio,0.0037898633
total_ttl_forward_traffic_ratio,0.0037886829
min_forward_packet_length_ratio,0.00373777
Total_length_of_forward_TCP_segment_ratio,0.0037153442
max_TCP_windows_size_value_backward_traffic,0.0036498646
mean_ttl_backward_traffic_enc,0.0034917477
median_TCP_windows_size_value_forward_traffic_enc,0.0034766137
Total_length_of_forward_payload,0.003406653
max_ttl_backward_traffic,0.0033267075
max_Change_values_of_TCP_windows_length_per_session,0.0032821316
max_TCP_windows_size_value_backward_traffic_enc,0.0032485083
Total_length_of_forward_TCP_header_enc,0.0031652974
std_time_to_live,0.0031320823
std_Change_values_of_TCP_windows_length_per_session,0.0030446213
Bytes_From_Servers(IPpacket),0.003035665
mean_TCP_windows_size_value,0.0029895806
median_Interval_of_arrival_time_of_backward_traffic_ratio,0.002909465
median_TCP_windows_size_value_backward_traffic,0.0028056144
var_length_of_IP_packet_enc,0.0025586884
mean_ttl_backward_traffic,0.0025127698
mean_forward_packet_length,0.0024019612
std_TCP_windows_size_value_backward_traffic_enc,0.0023841506
mean_forward_packet_length_ratio,0.002344032
min_length_of_IP_packet_enc,0.0023379559
min_backward_packet_length_ratio,0.0022804406
mean_TCP_windows_size_value_forward_traffic,0.00219724
min_forward_packet_length_enc,0.0021623373
total_TCP_windows_size_valuel_backward_traffic_enc,0.0021204718
std_length_of_IP_packet_enc,0.0020429897
min_TCP_windows_size_value_forward_traffic_enc,0.0020201819
median_time_to_live,0.0019269595
Total_length_of_forward_IP_header_enc,0.0018726976
